"Experiment Name: ","Time_Base_Campaign_Example"
"Experiment Description: ","Example of a time base campaign with 2000 faults"
"Responsable: ","David Paiva"
"Date: ","12/10/2022 23:17:48"
"-"
"-"
"-"
"-"
"-"
"Target: ","EDC (CONASAT)"
"Fault Type: ","FAULT_TYPE_TIMEBASED"
"Register","Mask","T0","Tinj","T1","Tfim"
"R8","00000000000000010000000000000000","2000","3730","6000","12000"
"R10","00000000000000010000000000000000","2000","5693","6000","12000"
"R7","00100000000000000000000000000000","2000","2761","6000","12000"
"SP","00000000000000000000000010000000","2000","5100","6000","12000"
"R1","00000001000000000000000000000000","2000","2506","6000","12000"
"R5","00000000000000000000100000000000","2000","2348","6000","12000"
"PC","00000000000000000000100000000000","2000","2637","6000","12000"
"R1","00000000000000100000000000000000","2000","4197","6000","12000"
"LR","00000000000000000000000000000001","2000","5462","6000","12000"
"R1","00000000000000000000000000000001","2000","5886","6000","12000"
"R1","00000000100000000000000000000000","2000","4843","6000","12000"
"R4","00000000000000000000001000000000","2000","2949","6000","12000"
"R2","00000000000000000000000000000010","2000","2400","6000","12000"
"SP","00000000100000000000000000000000","2000","4491","6000","12000"
"R12","00000000010000000000000000000000","2000","2798","6000","12000"
"R0","00010000000000000000000000000000","2000","5196","6000","12000"
"R1","00000000000000000000000000001000","2000","4450","6000","12000"
"R10","00000000000000000000100000000000","2000","3628","6000","12000"
"R3","00000000000000100000000000000000","2000","2641","6000","12000"
"R12","00000000000000000000000010000000","2000","2013","6000","12000"
"R3","00000001000000000000000000000000","2000","3401","6000","12000"
"R2","00000000000000000000010000000000","2000","4221","6000","12000"
"SP","10000000000000000000000000000000","2000","2915","6000","12000"
"R6","00000000000000000000000001000000","2000","3260","6000","12000"
"LR","00000000000000000000000000001000","2000","2421","6000","12000"
"R5","00000001000000000000000000000000","2000","3868","6000","12000"
"LR","00000000000000000000000000000001","2000","5572","6000","12000"
"R10","00000000000000000001000000000000","2000","4753","6000","12000"
"R10","01000000000000000000000000000000","2000","4150","6000","12000"
"R9","00001000000000000000000000000000","2000","5224","6000","12000"
"R12","00000001000000000000000000000000","2000","5349","6000","12000"
"R7","00000010000000000000000000000000","2000","5187","6000","12000"
"R3","00000000001000000000000000000000","2000","3568","6000","12000"
"SP","00000000000000000000100000000000","2000","2786","6000","12000"
"R10","00001000000000000000000000000000","2000","5611","6000","12000"
"R6","00000000000000000000000000000010","2000","3102","6000","12000"
"R3","00000000000000000000100000000000","2000","2423","6000","12000"
"R3","00000000000000000000000000000100","2000","3246","6000","12000"
"R3","00000000000000000000000000010000","2000","2893","6000","12000"
"R4","00000000000000000000000100000000","2000","4333","6000","12000"
"R11","00000000000000000000000010000000","2000","3699","6000","12000"
"PC","00000000000000001000000000000000","2000","4435","6000","12000"
"R5","00000000000000000001000000000000","2000","3185","6000","12000"
"R5","00000000000000000000010000000000","2000","5183","6000","12000"
"R1","00000000000000010000000000000000","2000","4381","6000","12000"
"R7","00000000000010000000000000000000","2000","5142","6000","12000"
"R4","01000000000000000000000000000000","2000","4626","6000","12000"
"R11","00000000000000000000000100000000","2000","2405","6000","12000"
"R10","00000000010000000000000000000000","2000","4639","6000","12000"
"PC","00001000000000000000000000000000","2000","4547","6000","12000"
"R0","00001000000000000000000000000000","2000","4028","6000","12000"
"R4","00000000000000000000000001000000","2000","3474","6000","12000"
"PC","00000000000000000000000000010000","2000","5016","6000","12000"
"R8","10000000000000000000000000000000","2000","2340","6000","12000"
"R1","00000000000000000000000000010000","2000","5070","6000","12000"
"R2","00000000000000000000000010000000","2000","3161","6000","12000"
"R12","00000000000000000000000100000000","2000","4245","6000","12000"
"R6","00000000000010000000000000000000","2000","3078","6000","12000"
"LR","00000000000000000000000000000100","2000","4502","6000","12000"
"R4","00000000000000000010000000000000","2000","5522","6000","12000"
"R10","00000000000010000000000000000000","2000","2393","6000","12000"
"R0","10000000000000000000000000000000","2000","4955","6000","12000"
"SP","00001000000000000000000000000000","2000","4600","6000","12000"
"R3","00000000000000000000000100000000","2000","4566","6000","12000"
"R11","00000000001000000000000000000000","2000","3957","6000","12000"
"R10","00000000000000100000000000000000","2000","3603","6000","12000"
"R10","00000000000000000000000000000001","2000","5959","6000","12000"
"R7","00000100000000000000000000000000","2000","4894","6000","12000"
"R0","00000000000010000000000000000000","2000","5551","6000","12000"
"R8","00000000000000000000000100000000","2000","5409","6000","12000"
"R10","00000010000000000000000000000000","2000","5802","6000","12000"
"R9","00000000000000010000000000000000","2000","3015","6000","12000"
"R9","00000000000000000000000000100000","2000","4639","6000","12000"
"R11","00000000000000000000100000000000","2000","4827","6000","12000"
"R8","00000000000000000000000000100000","2000","4056","6000","12000"
"SP","00000000000000000000000000001000","2000","5039","6000","12000"
"R0","00000010000000000000000000000000","2000","2637","6000","12000"
"R4","00000000100000000000000000000000","2000","5434","6000","12000"
"R7","00000000000001000000000000000000","2000","4027","6000","12000"
"R5","00000000000010000000000000000000","2000","4377","6000","12000"
"R3","00000000000000000000100000000000","2000","4596","6000","12000"
"R8","00000000000000010000000000000000","2000","3925","6000","12000"
"R10","00000001000000000000000000000000","2000","5681","6000","12000"
"R3","00000000000000000000000000000010","2000","2885","6000","12000"
"R10","00000000000010000000000000000000","2000","3650","6000","12000"
"R1","00000000000000001000000000000000","2000","5546","6000","12000"
"R0","00000000000000000010000000000000","2000","5701","6000","12000"
"R5","00000000000010000000000000000000","2000","4664","6000","12000"
"R0","00001000000000000000000000000000","2000","2677","6000","12000"
"PC","00000100000000000000000000000000","2000","2325","6000","12000"
"LR","00000000000001000000000000000000","2000","3194","6000","12000"
"R4","00000000000000000001000000000000","2000","2298","6000","12000"
"R12","00000000000000000001000000000000","2000","3710","6000","12000"
"R12","00000000000001000000000000000000","2000","5494","6000","12000"
"R9","00000000000100000000000000000000","2000","4480","6000","12000"
"R1","00000000000000100000000000000000","2000","3986","6000","12000"
"R12","00000000000000000000000000010000","2000","3233","6000","12000"
"R11","00000100000000000000000000000000","2000","3343","6000","12000"
"PC","00000000000000000000000000000001","2000","2492","6000","12000"
"R10","00000000000000000000000000000001","2000","4524","6000","12000"
"R8","00000001000000000000000000000000","2000","2259","6000","12000"
"R8","00000000000000000000010000000000","2000","4579","6000","12000"
"SP","00000000000000000000000010000000","2000","4036","6000","12000"
"R1","00000000000000000000000000000001","2000","5939","6000","12000"
"R0","00000000000000000000000000000001","2000","2042","6000","12000"
"R3","00000000000000000000000000000001","2000","4600","6000","12000"
"R8","00000000000000100000000000000000","2000","3584","6000","12000"
"SP","00000000000000000000000000001000","2000","2294","6000","12000"
"R11","00000000000000000000000000000001","2000","4368","6000","12000"
"R0","00000100000000000000000000000000","2000","4789","6000","12000"
"R8","00000000000000000000000000000010","2000","4810","6000","12000"
"R3","00001000000000000000000000000000","2000","3558","6000","12000"
"R3","00000100000000000000000000000000","2000","3648","6000","12000"
"R2","00000100000000000000000000000000","2000","3844","6000","12000"
"R11","10000000000000000000000000000000","2000","4718","6000","12000"
"R10","00000000000000000000000000000010","2000","5206","6000","12000"
"R7","00000000000000000000000000100000","2000","4231","6000","12000"
"R3","00000000000000000000100000000000","2000","4625","6000","12000"
"LR","00000000000000000000010000000000","2000","3786","6000","12000"
"SP","00000000000010000000000000000000","2000","2298","6000","12000"
"PC","00000000000000000000000000000100","2000","5172","6000","12000"
"R2","00000000000000000100000000000000","2000","2472","6000","12000"
"R3","00000000000000000000000000000001","2000","3055","6000","12000"
"R1","10000000000000000000000000000000","2000","3144","6000","12000"
"PC","00000000000000000010000000000000","2000","5895","6000","12000"
"R1","00000010000000000000000000000000","2000","3802","6000","12000"
"R8","00100000000000000000000000000000","2000","5181","6000","12000"
"R4","00000000000000100000000000000000","2000","4601","6000","12000"
"SP","00000000000000000000100000000000","2000","2645","6000","12000"
"R0","00000000001000000000000000000000","2000","2840","6000","12000"
"R11","00100000000000000000000000000000","2000","3434","6000","12000"
"R1","00000000000000000000000000010000","2000","4232","6000","12000"
"R4","10000000000000000000000000000000","2000","2530","6000","12000"
"R7","10000000000000000000000000000000","2000","4886","6000","12000"
"R8","00000000000000000000000000010000","2000","2332","6000","12000"
"SP","00000000000000000000000000001000","2000","5201","6000","12000"
"R9","00000000100000000000000000000000","2000","3557","6000","12000"
"R8","00010000000000000000000000000000","2000","5481","6000","12000"
"R10","00000000000000010000000000000000","2000","4073","6000","12000"
"R8","00000000000000000000000000000001","2000","5427","6000","12000"
"R11","00000001000000000000000000000000","2000","3367","6000","12000"
"SP","00000000000000000010000000000000","2000","3977","6000","12000"
"R9","00000000000000010000000000000000","2000","4126","6000","12000"
"R2","00000000000000000000010000000000","2000","3886","6000","12000"
"R5","00000000000000000001000000000000","2000","3491","6000","12000"
"R11","00000000000000100000000000000000","2000","4623","6000","12000"
"R4","00000000000000000001000000000000","2000","5973","6000","12000"
"R5","00001000000000000000000000000000","2000","2309","6000","12000"
"R4","00000000000000000100000000000000","2000","4711","6000","12000"
"R4","00000000000000000100000000000000","2000","3511","6000","12000"
"PC","00000000000000000000100000000000","2000","3516","6000","12000"
"R12","00000000000000000010000000000000","2000","4445","6000","12000"
"R1","00000000001000000000000000000000","2000","5074","6000","12000"
"R10","00000000001000000000000000000000","2000","3455","6000","12000"
"R2","00100000000000000000000000000000","2000","5268","6000","12000"
"R3","00001000000000000000000000000000","2000","3420","6000","12000"
"R1","00000000000000000000000000100000","2000","5043","6000","12000"
"R11","00000000001000000000000000000000","2000","4646","6000","12000"
"R11","00000000000000000001000000000000","2000","5871","6000","12000"
"LR","00000000000000000000100000000000","2000","2954","6000","12000"
"R12","00000000100000000000000000000000","2000","3408","6000","12000"
"R9","00001000000000000000000000000000","2000","4557","6000","12000"
"R10","00010000000000000000000000000000","2000","3505","6000","12000"
"R4","00000000000000000000000000100000","2000","2450","6000","12000"
"R11","00100000000000000000000000000000","2000","5148","6000","12000"
"PC","00000000000000001000000000000000","2000","4697","6000","12000"
"R4","00010000000000000000000000000000","2000","4752","6000","12000"
"R11","00000000000000000100000000000000","2000","4289","6000","12000"
"SP","00000100000000000000000000000000","2000","2974","6000","12000"
"R2","00000000000000000000000000000001","2000","3118","6000","12000"
"R3","00000000000000000000001000000000","2000","3700","6000","12000"
"R2","00000000000010000000000000000000","2000","3942","6000","12000"
"R3","00000000000000000000000010000000","2000","2288","6000","12000"
"SP","00000100000000000000000000000000","2000","2229","6000","12000"
"R3","00000001000000000000000000000000","2000","3991","6000","12000"
"R8","00000000000000000001000000000000","2000","2320","6000","12000"
"R5","00000001000000000000000000000000","2000","3646","6000","12000"
"R2","00000000001000000000000000000000","2000","4630","6000","12000"
"R9","00000000000000000000000000000010","2000","2404","6000","12000"
"R3","00000000000000000000000000000100","2000","4915","6000","12000"
"R0","00000000001000000000000000000000","2000","2115","6000","12000"
"R1","00000000000000000000000000010000","2000","2142","6000","12000"
"R4","00001000000000000000000000000000","2000","4667","6000","12000"
"R4","10000000000000000000000000000000","2000","3554","6000","12000"
"PC","00000000000000000000001000000000","2000","2031","6000","12000"
"LR","00000000000000000000000010000000","2000","5466","6000","12000"
"R3","00000000000000000001000000000000","2000","5355","6000","12000"
"R7","00010000000000000000000000000000","2000","2965","6000","12000"
"SP","00000000000000000000000001000000","2000","2338","6000","12000"
"R11","00000100000000000000000000000000","2000","2938","6000","12000"
"R6","00000000000000000000000000000100","2000","3671","6000","12000"
"R0","00000100000000000000000000000000","2000","2917","6000","12000"
"R3","00000100000000000000000000000000","2000","2673","6000","12000"
"R3","00000000000000000000100000000000","2000","2798","6000","12000"
"SP","00000000000000000000000010000000","2000","3090","6000","12000"
"R6","10000000000000000000000000000000","2000","2603","6000","12000"
"R0","00000000000010000000000000000000","2000","4032","6000","12000"
"R3","00000000000000000000000000000010","2000","5516","6000","12000"
"R2","00000000000000000000000000000001","2000","4162","6000","12000"
"SP","00000000010000000000000000000000","2000","5508","6000","12000"
"PC","01000000000000000000000000000000","2000","4103","6000","12000"
"R11","00000010000000000000000000000000","2000","2183","6000","12000"
"R4","00000000000000000000010000000000","2000","2399","6000","12000"
"R6","00010000000000000000000000000000","2000","2895","6000","12000"
"R2","00000000100000000000000000000000","2000","5357","6000","12000"
"R12","00000000000000000000000000100000","2000","4217","6000","12000"
"R3","00000000000000100000000000000000","2000","3956","6000","12000"
"R6","00000000010000000000000000000000","2000","3884","6000","12000"
"R3","00001000000000000000000000000000","2000","3119","6000","12000"
"R10","00000000000000000000000000000100","2000","4409","6000","12000"
"R4","00000000000000000010000000000000","2000","3133","6000","12000"
"R9","00010000000000000000000000000000","2000","3902","6000","12000"
"R0","00000000000000000000000000000100","2000","4921","6000","12000"
"R2","00000001000000000000000000000000","2000","5157","6000","12000"
"R10","00000000000000000000000000100000","2000","4584","6000","12000"
"R11","00000000000000000000010000000000","2000","3370","6000","12000"
"R7","00100000000000000000000000000000","2000","3915","6000","12000"
"R5","00000000000010000000000000000000","2000","5753","6000","12000"
"R4","00000000000000000000000100000000","2000","5108","6000","12000"
"R10","00000000000000000001000000000000","2000","3734","6000","12000"
"R3","00000000000000000010000000000000","2000","2101","6000","12000"
"R11","00100000000000000000000000000000","2000","2166","6000","12000"
"R10","00000000000000000010000000000000","2000","4371","6000","12000"
"R0","00000000000000000100000000000000","2000","4298","6000","12000"
"SP","00000000000100000000000000000000","2000","5946","6000","12000"
"R10","00000000000000000000000100000000","2000","4700","6000","12000"
"R5","00000000000000000000000000001000","2000","3019","6000","12000"
"R7","00000000000000000000000001000000","2000","5873","6000","12000"
"R4","00000000000001000000000000000000","2000","2896","6000","12000"
"R11","00000000000000000000000000000001","2000","5551","6000","12000"
"R11","00000000000000000001000000000000","2000","5905","6000","12000"
"R1","00000000000010000000000000000000","2000","3608","6000","12000"
"R5","00000000000000000100000000000000","2000","5790","6000","12000"
"R6","00000001000000000000000000000000","2000","3925","6000","12000"
"R2","00000000000000000100000000000000","2000","2796","6000","12000"
"R8","00000000000000000001000000000000","2000","2446","6000","12000"
"R10","00000000000000000000000100000000","2000","2109","6000","12000"
"LR","00000000000000000000000000100000","2000","4757","6000","12000"
"R0","00000000000010000000000000000000","2000","5752","6000","12000"
"R12","00001000000000000000000000000000","2000","2786","6000","12000"
"SP","00000000000000000000000000010000","2000","3799","6000","12000"
"R7","00000000000000010000000000000000","2000","3961","6000","12000"
"SP","00000000000000000000000000001000","2000","5215","6000","12000"
"R2","00000000001000000000000000000000","2000","3240","6000","12000"
"R0","00001000000000000000000000000000","2000","4939","6000","12000"
"R12","00000000010000000000000000000000","2000","3980","6000","12000"
"R0","00000000000100000000000000000000","2000","5313","6000","12000"
"R7","00000000000000000000010000000000","2000","2260","6000","12000"
"SP","00000010000000000000000000000000","2000","4358","6000","12000"
"LR","00000000000000000000000000000001","2000","3741","6000","12000"
"R2","00010000000000000000000000000000","2000","2733","6000","12000"
"R0","01000000000000000000000000000000","2000","3740","6000","12000"
"R2","00000000000001000000000000000000","2000","2154","6000","12000"
"R10","00000000000001000000000000000000","2000","4794","6000","12000"
"SP","00000000000000000001000000000000","2000","5349","6000","12000"
"LR","00000000010000000000000000000000","2000","5305","6000","12000"
"R9","00010000000000000000000000000000","2000","2282","6000","12000"
"R9","10000000000000000000000000000000","2000","2965","6000","12000"
"PC","00000000000000000001000000000000","2000","2974","6000","12000"
"R5","00000000000000010000000000000000","2000","2182","6000","12000"
"PC","00000000000000000000000000000010","2000","3756","6000","12000"
"SP","00000000001000000000000000000000","2000","4898","6000","12000"
"R3","00000000000000000000000000001000","2000","4157","6000","12000"
"R10","00000000000000000000000000001000","2000","5279","6000","12000"
"R4","00000010000000000000000000000000","2000","2565","6000","12000"
"SP","00000000000000001000000000000000","2000","4630","6000","12000"
"R4","00000000000000000000000000001000","2000","3802","6000","12000"
"R6","00000000001000000000000000000000","2000","5859","6000","12000"
"R4","00000000000000000000000001000000","2000","5568","6000","12000"
"LR","00000000000000000000000001000000","2000","5609","6000","12000"
"R5","00000000000000010000000000000000","2000","4128","6000","12000"
"R11","01000000000000000000000000000000","2000","2930","6000","12000"
"R1","00000100000000000000000000000000","2000","2295","6000","12000"
"R1","00000000000000000000000000100000","2000","3284","6000","12000"
"PC","00000000000000000000010000000000","2000","2314","6000","12000"
"R4","00100000000000000000000000000000","2000","2768","6000","12000"
"R5","00000000000000000000100000000000","2000","3511","6000","12000"
"SP","00000000000000100000000000000000","2000","3348","6000","12000"
"R0","00000000000000000100000000000000","2000","4711","6000","12000"
"R4","00000000000000000000000000000010","2000","2623","6000","12000"
"R6","00000000000000000000000000000001","2000","3552","6000","12000"
"PC","00000000000000000000000010000000","2000","2244","6000","12000"
"R9","00000000000000000000100000000000","2000","4151","6000","12000"
"R1","00000000000010000000000000000000","2000","5928","6000","12000"
"SP","00000000000000000000000100000000","2000","4643","6000","12000"
"R12","00000000000000000100000000000000","2000","4038","6000","12000"
"R0","00000000000000000000000010000000","2000","3404","6000","12000"
"R4","00000000000010000000000000000000","2000","3922","6000","12000"
"R0","00000000000000000010000000000000","2000","2529","6000","12000"
"SP","00000000000001000000000000000000","2000","2459","6000","12000"
"SP","00000000000001000000000000000000","2000","5033","6000","12000"
"R6","00000000100000000000000000000000","2000","2185","6000","12000"
"R2","00000000000010000000000000000000","2000","2706","6000","12000"
"R12","00000000000010000000000000000000","2000","4229","6000","12000"
"R6","00000000000000000000000000010000","2000","4486","6000","12000"
"R8","00100000000000000000000000000000","2000","5656","6000","12000"
"R12","00000000000000000000000000000010","2000","5595","6000","12000"
"R5","00000000000000000000000010000000","2000","2764","6000","12000"
"R5","00000000000000000000000000000100","2000","5481","6000","12000"
"R7","00000000000100000000000000000000","2000","4174","6000","12000"
"R2","00100000000000000000000000000000","2000","4278","6000","12000"
"R1","00000000000000000000000000000100","2000","5653","6000","12000"
"R5","00000000000010000000000000000000","2000","2029","6000","12000"
"SP","00000000000000000001000000000000","2000","3453","6000","12000"
"PC","00000000000000000000000000100000","2000","2094","6000","12000"
"R10","00000000000000000000001000000000","2000","3596","6000","12000"
"R12","00000000000000000000000100000000","2000","5247","6000","12000"
"R1","00000000000100000000000000000000","2000","2486","6000","12000"
"R1","00000000000000000000000000001000","2000","5215","6000","12000"
"R11","00000001000000000000000000000000","2000","2267","6000","12000"
"R2","00000000000001000000000000000000","2000","2459","6000","12000"
"R10","00000000000000000000010000000000","2000","4045","6000","12000"
"R2","00010000000000000000000000000000","2000","3610","6000","12000"
"R6","00000000000000000000000000001000","2000","5360","6000","12000"
"PC","00010000000000000000000000000000","2000","5075","6000","12000"
"R2","00000000000000100000000000000000","2000","5594","6000","12000"
"LR","10000000000000000000000000000000","2000","4926","6000","12000"
"LR","00000000000001000000000000000000","2000","5627","6000","12000"
"SP","00000000000000000000001000000000","2000","2088","6000","12000"
"R4","00000010000000000000000000000000","2000","2198","6000","12000"
"R11","00000000000000000010000000000000","2000","4704","6000","12000"
"R0","00000000000000000001000000000000","2000","2988","6000","12000"
"R5","00000000000100000000000000000000","2000","5550","6000","12000"
"R6","00010000000000000000000000000000","2000","4314","6000","12000"
"R3","00100000000000000000000000000000","2000","3075","6000","12000"
"R11","00000001000000000000000000000000","2000","3097","6000","12000"
"R7","00000000000000100000000000000000","2000","4268","6000","12000"
"R12","00000000000000000000000000000010","2000","5283","6000","12000"
"R12","00000000000000000000000000100000","2000","5856","6000","12000"
"R5","00000000000000000000000010000000","2000","4309","6000","12000"
"SP","00000000000000000000000010000000","2000","4121","6000","12000"
"SP","00000000000010000000000000000000","2000","3792","6000","12000"
"LR","01000000000000000000000000000000","2000","3487","6000","12000"
"R11","00000000000000000000000000001000","2000","5274","6000","12000"
"R0","00010000000000000000000000000000","2000","2912","6000","12000"
"R4","00000000000001000000000000000000","2000","2113","6000","12000"
"R7","00000000000000000000000000000001","2000","2876","6000","12000"
"R10","00010000000000000000000000000000","2000","2048","6000","12000"
"R11","00000000000000000000000010000000","2000","3420","6000","12000"
"R1","00000000000000000001000000000000","2000","2330","6000","12000"
"R5","00000000000000000000000000000001","2000","2946","6000","12000"
"R2","00000010000000000000000000000000","2000","2722","6000","12000"
"PC","00000000000001000000000000000000","2000","2396","6000","12000"
"R11","00000000000000000000000001000000","2000","3229","6000","12000"
"R8","00001000000000000000000000000000","2000","2130","6000","12000"
"R2","00000000000000000000000000000100","2000","4672","6000","12000"
"R6","00000000000000000000000000010000","2000","3775","6000","12000"
"R3","00001000000000000000000000000000","2000","5427","6000","12000"
"R9","00000000000000000000000000000100","2000","5629","6000","12000"
"R5","00000000000000000000000000000100","2000","2103","6000","12000"
"R5","00000000000000000000000100000000","2000","3833","6000","12000"
"R6","00000000000001000000000000000000","2000","2851","6000","12000"
"R8","00000000000000000000000000000010","2000","2405","6000","12000"
"R12","00000000000010000000000000000000","2000","3018","6000","12000"
"R8","00001000000000000000000000000000","2000","2284","6000","12000"
"R9","00000001000000000000000000000000","2000","5305","6000","12000"
"R7","00000000000100000000000000000000","2000","2560","6000","12000"
"SP","00000000000000000000000001000000","2000","2556","6000","12000"
"R8","00000000000001000000000000000000","2000","3183","6000","12000"
"R8","00000000010000000000000000000000","2000","5152","6000","12000"
"R7","00000000000000000000000000100000","2000","2100","6000","12000"
"R0","00000000000000000001000000000000","2000","2675","6000","12000"
"R4","00000000000000000100000000000000","2000","2218","6000","12000"
"R10","10000000000000000000000000000000","2000","4968","6000","12000"
"R9","00000000000010000000000000000000","2000","5468","6000","12000"
"R7","01000000000000000000000000000000","2000","3894","6000","12000"
"R1","00000000000000000001000000000000","2000","3383","6000","12000"
"R5","01000000000000000000000000000000","2000","4768","6000","12000"
"R7","00000000000010000000000000000000","2000","4609","6000","12000"
"PC","00000000000000000000000000000100","2000","5007","6000","12000"
"R11","00000000000000000000001000000000","2000","2370","6000","12000"
"R5","00100000000000000000000000000000","2000","4284","6000","12000"
"R7","00000000000000000000000000100000","2000","4384","6000","12000"
"PC","00000000000000000000100000000000","2000","5994","6000","12000"
"R7","00000000000000000100000000000000","2000","5898","6000","12000"
"R9","00000000000000000000001000000000","2000","4975","6000","12000"
"R6","10000000000000000000000000000000","2000","4202","6000","12000"
"R11","00000000000000000000000100000000","2000","5908","6000","12000"
"R7","00000001000000000000000000000000","2000","4989","6000","12000"
"R5","00000000000000000000000010000000","2000","5810","6000","12000"
