"Experiment Name: ","Space_Base_Campaign_Example"
"Experiment Description: ","Example of a space base campaign with 2000 faults"
"Responsable: ","David Paiva"
"Date: ","12/10/2022 23:18:52"
"-"
"-"
"-"
"-"
"-"
"Target: ","EDC (CONASAT)"
"Fault Type: ","FAULT_TYPE_SPACEBASED"
"Register","Mask","PC Location","EndTime"
"R11","00000000000000000000000000000010","101010f","5000"
"R7","00000000000000000000000010000000","101015f","5000"
"R12","00000000000000010000000000000000","1010155","5000"
"R5","00000000000000000000000001000000","1010183","5000"
"R1","00000000000000000100000000000000","101010d","5000"
"LR","00000000000000100000000000000000","10101dd","5000"
"R4","00000000001000000000000000000000","10101a0","5000"
"R10","00000000000000000000010000000000","10101a6","5000"
"R10","01000000000000000000000000000000","10101b8","5000"
"R11","00000000000000000000000010000000","101016a","5000"
"R12","00000000000000000000010000000000","10101bc","5000"
"R3","00000000000001000000000000000000","10101c9","5000"
"R6","00000000000000001000000000000000","1010174","5000"
"R5","00000000000000000000000001000000","1010176","5000"
"SP","10000000000000000000000000000000","1010171","5000"
"R7","00100000000000000000000000000000","10101bf","5000"
"R3","00000100000000000000000000000000","101015a","5000"
"R12","00000010000000000000000000000000","10101f0","5000"
"R8","00001000000000000000000000000000","1010134","5000"
"R6","00000000000000000000000000000100","10101d9","5000"
"R3","00000000001000000000000000000000","10101db","5000"
"R7","00000001000000000000000000000000","10101f3","5000"
"R7","00000000000000000000000000001000","101018e","5000"
"R6","00000000000000000000100000000000","10101bc","5000"
"SP","10000000000000000000000000000000","1010135","5000"
"R11","00000000010000000000000000000000","1010154","5000"
"SP","00000000000000000000001000000000","101017a","5000"
"SP","00000100000000000000000000000000","101012f","5000"
"R2","00000100000000000000000000000000","10101f7","5000"
"R0","00001000000000000000000000000000","1010190","5000"
"R3","00000000000000000100000000000000","10101ac","5000"
"R9","00010000000000000000000000000000","101014b","5000"
"R0","00000100000000000000000000000000","10101b1","5000"
"R5","00000000000000001000000000000000","101010a","5000"
"R6","00000000000000010000000000000000","1010134","5000"
"R9","00000000000000000000100000000000","10101c3","5000"
"SP","00000000000100000000000000000000","101017d","5000"
"PC","00010000000000000000000000000000","1010115","5000"
"R8","00000001000000000000000000000000","10101ab","5000"
"R7","00000000000000010000000000000000","1010132","5000"
"R5","00000000000000001000000000000000","10101cc","5000"
"R4","00000000010000000000000000000000","1010133","5000"
"R1","00100000000000000000000000000000","1010111","5000"
"PC","00000000000000000000000000100000","101019d","5000"
"R2","00000000000000000001000000000000","10101ac","5000"
"R6","00000000000100000000000000000000","10101dc","5000"
"R7","00000010000000000000000000000000","1010177","5000"
"PC","00000000000000000000000001000000","10101b3","5000"
"R4","00000000000000000000100000000000","101014d","5000"
"R0","00000000000000010000000000000000","10101a8","5000"
"R3","00000000000000000000000000000010","101013f","5000"
"R4","00000000000001000000000000000000","1010112","5000"
"R7","00000000000000000000000000000001","101010c","5000"
"R8","00000000000000000000001000000000","1010190","5000"
"R3","00000000000000000000000000000010","1010139","5000"
"R12","00000000000000000000000100000000","1010149","5000"
"R7","00000000000000010000000000000000","10101c5","5000"
"R3","00000000000000000000001000000000","101014d","5000"
"R12","00000000000000000000000000000100","10101e0","5000"
"R12","00000001000000000000000000000000","101016f","5000"
"R8","00000000000000000000100000000000","101014f","5000"
"R1","00000000000000000000100000000000","1010178","5000"
"SP","00000000000000010000000000000000","10101dd","5000"
"SP","00000000100000000000000000000000","101014e","5000"
"R2","00000000000000000000000000100000","1010102","5000"
"R7","00000000100000000000000000000000","10101a4","5000"
"R0","00000010000000000000000000000000","1010196","5000"
"R1","00000000010000000000000000000000","10101cd","5000"
"R2","00000000100000000000000000000000","10101b5","5000"
"PC","00000000000000000000000100000000","1010140","5000"
"LR","00000000001000000000000000000000","1010142","5000"
"R11","00000000000000000000000000010000","1010101","5000"
"R4","00000000010000000000000000000000","10101dc","5000"
"R7","00000000000000000000000000001000","1010151","5000"
"R7","00000000000100000000000000000000","1010104","5000"
"R0","00000000000000000000010000000000","1010152","5000"
"R4","00000000000000000001000000000000","101010a","5000"
"R11","00000010000000000000000000000000","1010122","5000"
"R5","00100000000000000000000000000000","101018c","5000"
"R8","00000000000000001000000000000000","101015e","5000"
"R11","00000000010000000000000000000000","1010178","5000"
"R11","00000000000000000000000000000010","101016f","5000"
"R8","00000001000000000000000000000000","1010156","5000"
"R8","00000000100000000000000000000000","10101cc","5000"
"SP","00000000010000000000000000000000","1010175","5000"
"R3","00000001000000000000000000000000","10101f6","5000"
"SP","00000000000000000000000000000010","10101c0","5000"
"R0","00000100000000000000000000000000","101011d","5000"
"SP","00000000000000000010000000000000","10101ab","5000"
"LR","00000000000000010000000000000000","1010163","5000"
"SP","00000000000000000000000000001000","1010189","5000"
"PC","00000000000100000000000000000000","10101ca","5000"
"R5","00000000010000000000000000000000","1010156","5000"
"PC","00000000000000000000000001000000","1010168","5000"
"SP","00000000000000000000000000001000","10101d0","5000"
"R7","00001000000000000000000000000000","101010f","5000"
"R8","00000000000000010000000000000000","101011c","5000"
"R7","00000000000000100000000000000000","1010188","5000"
"R8","00000000000000000000100000000000","10101cc","5000"
"R10","00000000000000000000000000000010","1010146","5000"
"R11","00000001000000000000000000000000","1010190","5000"
"R0","00000000010000000000000000000000","1010188","5000"
"R3","00000000001000000000000000000000","10101bc","5000"
"R7","01000000000000000000000000000000","10101fb","5000"
"R11","00000000000000000000000000000001","10101c0","5000"
"R5","00000000000000000000000010000000","1010198","5000"
"SP","00000000000000000000001000000000","1010172","5000"
"R5","00000000000000000000000100000000","1010131","5000"
"R2","00000000000001000000000000000000","10101df","5000"
"R4","00000000000000000000010000000000","101018e","5000"
"R8","00000000000000000000000100000000","10101d5","5000"
"R10","00000000000000000000000100000000","1010127","5000"
"R2","00000001000000000000000000000000","10101be","5000"
"LR","00000000100000000000000000000000","10101c7","5000"
"R2","00000000000000010000000000000000","10101bd","5000"
"R6","00000000000000000000000010000000","101014d","5000"
"R1","00000100000000000000000000000000","1010172","5000"
"R7","00100000000000000000000000000000","1010168","5000"
"R0","00000010000000000000000000000000","101013a","5000"
"R11","00000000000000000000000010000000","1010164","5000"
"R6","00000000100000000000000000000000","1010108","5000"
"R12","00000000000000001000000000000000","1010153","5000"
"R2","00000000000000000000000000000010","1010184","5000"
"R9","01000000000000000000000000000000","1010139","5000"
"SP","00000000000000000000000000010000","10101a1","5000"
"R9","00000010000000000000000000000000","10101f5","5000"
"LR","00000000000000000000000000100000","1010146","5000"
"R9","00000000100000000000000000000000","1010102","5000"
"SP","01000000000000000000000000000000","10101a0","5000"
"SP","10000000000000000000000000000000","1010149","5000"
"R8","00000001000000000000000000000000","1010145","5000"
"R6","00000000000010000000000000000000","1010135","5000"
"R7","00000010000000000000000000000000","101017b","5000"
"R3","00001000000000000000000000000000","1010110","5000"
"R1","00000000000000000000000000000010","1010128","5000"
"LR","00000000000001000000000000000000","1010138","5000"
"R3","00000000100000000000000000000000","101011f","5000"
"R8","00000000000000000100000000000000","101016b","5000"
"R6","00100000000000000000000000000000","101010c","5000"
"R3","00000000000000001000000000000000","10101e8","5000"
"R1","00000000000000000000000000100000","10101e4","5000"
"R8","00000000000000010000000000000000","1010199","5000"
"R11","00000000000000000100000000000000","1010145","5000"
"PC","01000000000000000000000000000000","101010d","5000"
"R0","00000000000000000000000100000000","1010136","5000"
"R12","00000000000000000000000001000000","1010105","5000"
"R9","00000000000000000000000000001000","10101c5","5000"
"R9","00000000000000000000000000010000","101011f","5000"
"R12","00000001000000000000000000000000","10101da","5000"
"R10","00000000000000000000000000010000","101013e","5000"
"R4","00000000001000000000000000000000","10101bf","5000"
"R0","00000010000000000000000000000000","1010156","5000"
"R4","00000000000000010000000000000000","10101e7","5000"
"R8","00000001000000000000000000000000","101019d","5000"
"R7","00000000001000000000000000000000","1010144","5000"
"R8","00000000000000000000000000010000","10101d4","5000"
"R10","00000000000000000000010000000000","10101a1","5000"
"R2","00100000000000000000000000000000","10101c1","5000"
"R8","00000000000000000010000000000000","10101a8","5000"
"R7","00000000000000000010000000000000","10101bc","5000"
"R4","00000000000000000000000000000001","101014a","5000"
"R4","00000001000000000000000000000000","1010110","5000"
"R8","00000010000000000000000000000000","1010194","5000"
"R12","00001000000000000000000000000000","1010133","5000"
"SP","00000000000000000000010000000000","101019d","5000"
"R8","00000000010000000000000000000000","1010195","5000"
"R5","00000001000000000000000000000000","101013c","5000"
"SP","00000000000000000000000000001000","10101fd","5000"
"R3","00000000000000000000000000000001","1010101","5000"
"R4","00000001000000000000000000000000","101013f","5000"
"SP","01000000000000000000000000000000","10101d4","5000"
"R10","00000000000000000000000100000000","101012e","5000"
"R6","00000000000000000000000000000100","101018d","5000"
"SP","00000000001000000000000000000000","10101e0","5000"
"R11","00000000000000000010000000000000","10101a4","5000"
"R3","00000000000000000000100000000000","10101f9","5000"
"SP","00000000000010000000000000000000","1010103","5000"
"R7","00000001000000000000000000000000","10101d3","5000"
"R9","00000000000000000000010000000000","1010172","5000"
"R1","00000000000000000000000000000010","1010118","5000"
"R4","00000000000000100000000000000000","101019a","5000"
"R0","00000000000000100000000000000000","101014f","5000"
"R12","00100000000000000000000000000000","10101cd","5000"
"R4","00000100000000000000000000000000","10101bb","5000"
"LR","00000000000001000000000000000000","101017b","5000"
"R9","00000000000000000010000000000000","1010148","5000"
"R11","00000000000000100000000000000000","10101bc","5000"
"R3","00000000000000000001000000000000","10101f2","5000"
"R6","00000000000000000000000000000010","101018f","5000"
"R10","00000000000000000000001000000000","10101d9","5000"
"R3","00010000000000000000000000000000","101019c","5000"
"R3","00000000000000000000100000000000","10101e8","5000"
"R6","01000000000000000000000000000000","1010132","5000"
"R12","00100000000000000000000000000000","101019d","5000"
"R6","00000000000000000000000100000000","10101ce","5000"
"R7","00000000100000000000000000000000","1010115","5000"
"R12","00000000000000100000000000000000","10101c0","5000"
"LR","00000001000000000000000000000000","101014d","5000"
"R10","00000000000000000001000000000000","101010b","5000"
"SP","00000000000000000000000000010000","10101b6","5000"
"R6","00000000000000000000000000100000","1010176","5000"
"R5","00000000001000000000000000000000","101010f","5000"
"LR","00000000100000000000000000000000","101018f","5000"
"R12","00010000000000000000000000000000","10101a6","5000"
"R12","00000100000000000000000000000000","1010125","5000"
"R5","00000000000000000000100000000000","1010125","5000"
"R4","00000001000000000000000000000000","1010197","5000"
"R2","00000000000001000000000000000000","1010147","5000"
"R0","00000000100000000000000000000000","101014a","5000"
"R0","00000000010000000000000000000000","1010119","5000"
"SP","00010000000000000000000000000000","101011a","5000"
"R7","00100000000000000000000000000000","1010165","5000"
"R0","00000000000000010000000000000000","1010123","5000"
"PC","00000000001000000000000000000000","101011c","5000"
"R11","00000000000000000001000000000000","101018b","5000"
"R12","00000000001000000000000000000000","1010181","5000"
"R11","10000000000000000000000000000000","1010110","5000"
"R3","00000000010000000000000000000000","10101f7","5000"
"R8","00000000000000100000000000000000","101011b","5000"
"R0","00000000000000000000000000100000","101018d","5000"
"PC","00000000000000001000000000000000","10101ec","5000"
"R11","00000000000000000000001000000000","1010172","5000"
"R8","00000000000000000000000000100000","101019d","5000"
"R4","00000000000000000000000000010000","101010e","5000"
"R12","00000000000000010000000000000000","1010115","5000"
"R12","00000000000000000000000000100000","1010175","5000"
"LR","00000000000001000000000000000000","101018b","5000"
"R5","01000000000000000000000000000000","101014b","5000"
"PC","00000000000000000010000000000000","101015f","5000"
"R4","00000000000000000000000000000100","1010191","5000"
"R6","00000000000000000000001000000000","10101ea","5000"
"R1","00010000000000000000000000000000","1010142","5000"
"R8","00000000000000010000000000000000","1010121","5000"
"R7","00000000000000001000000000000000","1010195","5000"
"R1","00000000000000000100000000000000","1010126","5000"
"R12","00000000000000000000000000001000","1010160","5000"
"R0","00000000000000000000000000000010","1010139","5000"
"R4","00000010000000000000000000000000","1010153","5000"
"PC","00000000000000010000000000000000","10101bf","5000"
"R9","00000000010000000000000000000000","10101d0","5000"
"R11","00000000000010000000000000000000","10101db","5000"
"LR","00000000000000001000000000000000","101014a","5000"
"R12","00000000000000000010000000000000","1010124","5000"
"R3","00000000000000000000000000010000","1010157","5000"
"SP","00000000001000000000000000000000","10101da","5000"
"R3","00000000000000000000000010000000","101011f","5000"
"R2","00000000001000000000000000000000","1010127","5000"
"R9","00000000000010000000000000000000","101016f","5000"
"R12","00000000000000000000000001000000","1010146","5000"
"R2","00000000000100000000000000000000","10101ae","5000"
"R6","00000000000100000000000000000000","10101d5","5000"
"R7","00000001000000000000000000000000","101014b","5000"
"R8","00000000000100000000000000000000","1010190","5000"
"R0","00001000000000000000000000000000","1010139","5000"
"R2","00000000000000000100000000000000","101015e","5000"
"R5","00000000000000000000000000000001","1010149","5000"
"PC","00000000000000000001000000000000","10101f6","5000"
"R4","00000000000000000000000010000000","1010107","5000"
"R12","00000000000000010000000000000000","1010133","5000"
"R4","01000000000000000000000000000000","1010158","5000"
"R3","00000000000000000000001000000000","101016d","5000"
"SP","00000000100000000000000000000000","10101c4","5000"
"R6","00000100000000000000000000000000","101012e","5000"
"R12","00000000000100000000000000000000","10101e4","5000"
"R0","00000000000000000100000000000000","10101d6","5000"
"R0","00000000000000000000000010000000","10101d0","5000"
"SP","00000000000000000000000000010000","1010111","5000"
"R1","00000100000000000000000000000000","10101a5","5000"
"R12","00000000010000000000000000000000","10101a9","5000"
"R10","00000000000000000000000000001000","101018c","5000"
"R2","00000000000010000000000000000000","10101ac","5000"
"R5","00010000000000000000000000000000","1010181","5000"
"R7","00000000000000100000000000000000","101014b","5000"
"SP","00001000000000000000000000000000","1010148","5000"
"R12","00000000000000000000000000000100","10101bc","5000"
"R3","00000000001000000000000000000000","1010176","5000"
"R10","00000000000000001000000000000000","10101b2","5000"
"R4","00000000000001000000000000000000","1010105","5000"
"R3","00000001000000000000000000000000","1010108","5000"
"R12","00010000000000000000000000000000","1010185","5000"
"R0","00000000000000000000000000000001","101011c","5000"
"R10","00000000000000000000010000000000","10101ba","5000"
"R5","00000010000000000000000000000000","1010191","5000"
"R1","00000000000100000000000000000000","10101ca","5000"
"LR","00000000000001000000000000000000","101010a","5000"
"R2","00100000000000000000000000000000","1010101","5000"
"R2","00000000000000000001000000000000","1010198","5000"
"LR","00000000000000000000010000000000","1010159","5000"
"R11","00000000000000000000000000000100","1010121","5000"
"R9","00000000000000000000100000000000","10101ce","5000"
"R6","00000000000000000000000000000010","10101fb","5000"
"R3","00000000000010000000000000000000","1010141","5000"
"R0","00000000000000000000100000000000","10101a9","5000"
"LR","00000000000000000000000000000010","1010107","5000"
"R3","00000000000000000000000000000100","10101ed","5000"
"R2","00000000000000000000000000100000","1010152","5000"
"PC","00000000000000000000000000010000","1010151","5000"
"R10","00000000000000000000000000010000","101015d","5000"
"R5","00000000100000000000000000000000","10101d7","5000"
"R2","10000000000000000000000000000000","10101ba","5000"
"R12","10000000000000000000000000000000","101010d","5000"
"R2","00000000000100000000000000000000","1010126","5000"
"R6","00000010000000000000000000000000","1010105","5000"
"R11","00000000000000000000000000001000","1010190","5000"
"R1","00000000000000000000100000000000","10101a7","5000"
"R2","00000000000000000000000000000010","1010105","5000"
"R9","00000000000000000000000000000001","1010162","5000"
"R11","10000000000000000000000000000000","1010171","5000"
"R12","01000000000000000000000000000000","1010183","5000"
"R7","00000000000000000000000001000000","1010106","5000"
"R3","00000000000000000000000000000100","1010132","5000"
"R12","00000000000000010000000000000000","10101cb","5000"
"R1","00100000000000000000000000000000","1010118","5000"
"R7","00000000000000000000000100000000","10101a5","5000"
"R1","00000000000000000000000000000100","1010102","5000"
"LR","00001000000000000000000000000000","10101d4","5000"
"R3","00000000000000000000000010000000","10101af","5000"
"R0","00000000001000000000000000000000","1010124","5000"
"R12","00010000000000000000000000000000","1010162","5000"
"R9","00000000001000000000000000000000","1010140","5000"
"R12","00000000000000000001000000000000","10101d7","5000"
"R10","00000000000000000000000000000100","101017e","5000"
"R1","00000010000000000000000000000000","1010169","5000"
"R0","00000100000000000000000000000000","101010b","5000"
"R1","00000100000000000000000000000000","1010144","5000"
"R7","00000000000000000000001000000000","10101eb","5000"
"R12","00000000000000000000001000000000","10101ee","5000"
"R4","00000010000000000000000000000000","10101e9","5000"
"R11","00000000000000001000000000000000","10101b0","5000"
"R9","00000000000001000000000000000000","10101e6","5000"
"R9","00000000100000000000000000000000","1010159","5000"
"R12","00000000000000000000001000000000","101017e","5000"
"R6","00000000000000100000000000000000","10101c9","5000"
"R4","00000000000000000000000100000000","10101ad","5000"
"LR","00000000000000000010000000000000","101017b","5000"
"R0","00000000000001000000000000000000","10101d0","5000"
"R9","00000000000000000000000100000000","101015b","5000"
"R11","00000000000001000000000000000000","1010101","5000"
"LR","00000000000000001000000000000000","10101a8","5000"
"R3","00000000000000000000000000100000","101010d","5000"
"R0","00000000000000010000000000000000","10101b3","5000"
"R10","00100000000000000000000000000000","101011a","5000"
"PC","00100000000000000000000000000000","101018d","5000"
"LR","00000000000000000000000000100000","10101aa","5000"
"R8","00000000000000000000001000000000","1010171","5000"
"R12","00000000000000000000000000001000","101010d","5000"
"R11","00000000001000000000000000000000","10101e0","5000"
"R2","00000000000000000000000000100000","1010195","5000"
"R2","00000000000001000000000000000000","1010113","5000"
"PC","00000000000000010000000000000000","1010127","5000"
"R4","00000000000010000000000000000000","10101d0","5000"
"R3","00000000000000000000000000100000","101013e","5000"
"R11","00000000000000000001000000000000","1010181","5000"
"SP","00000000000000000000000010000000","1010126","5000"
"LR","00000000000000000000000001000000","101012f","5000"
"R2","00000001000000000000000000000000","101013a","5000"
"R3","00000000100000000000000000000000","1010120","5000"
"PC","00000000000000000000000001000000","1010160","5000"
"R2","00000000000000000000000000000100","1010148","5000"
"R10","00000000000000000000000000010000","10101b0","5000"
"R12","00000000000000100000000000000000","1010135","5000"
"PC","00000000000100000000000000000000","1010174","5000"
"R10","00010000000000000000000000000000","101016e","5000"
"R6","00000000000010000000000000000000","1010120","5000"
"PC","00000000000001000000000000000000","1010169","5000"
"R11","00000000000100000000000000000000","1010103","5000"
"R8","00000000000000000000000001000000","10101f6","5000"
"R6","00000000000001000000000000000000","1010107","5000"
"R8","00000000000100000000000000000000","1010124","5000"
"R8","00000000000000000010000000000000","1010110","5000"
"R8","00100000000000000000000000000000","10101fa","5000"
"R9","00000000000000000000000100000000","1010107","5000"
"R1","00000000000000000000000001000000","1010191","5000"
"R8","00000000000000000000000000001000","1010147","5000"
"R11","00000000000001000000000000000000","101012e","5000"
"R12","00010000000000000000000000000000","10101be","5000"
"R7","00000000000000000000100000000000","1010107","5000"
"SP","00000000000100000000000000000000","101017e","5000"
"LR","00000000000000000000001000000000","10101ec","5000"
"R0","00000000000000000000001000000000","10101ad","5000"
"R6","00000000000000000000000000000010","1010107","5000"
"R11","00000010000000000000000000000000","101013d","5000"
"LR","00000000000000000000000100000000","101018f","5000"
"R4","00000000000000000000000000010000","1010179","5000"
"PC","00000000000000000000000000000001","1010104","5000"
"R3","00000010000000000000000000000000","1010155","5000"
"R12","00010000000000000000000000000000","1010164","5000"
"R3","01000000000000000000000000000000","1010121","5000"
"R3","00000000100000000000000000000000","10101a4","5000"
"R8","00001000000000000000000000000000","101015a","5000"
